Subject,Predicate,Object
Alan_Turing,Born,"Alan Mathison Turing(1912-06-23)23 June 1912Maida Vale, London, England"
Alan_Turing,Died,"7 June 1954(1954-06-07) (aged 41)Wilmslow, Cheshire, England"
Alan_Turing,Cause of death,Suicide (disputed) by cyanide poisoning
Alan_Turing,Resting place,Ashes scattered in gardens of Woking Crematorium
Alan_Turing,Nationality,English
Alan_Turing,Education,Sherborne School
Alan_Turing,Alma mater,"University of Cambridge  (BA, MA), Princeton University (PhD)"
Alan_Turing,Known for,"Cryptanalysis of the Enigma, Turing's proof, Turing machine, Turing test, Unorganised machine, Turing pattern, Turing reduction, The Chemical Basis of Morphogenesis"
Alan_Turing,Partner(s),Joan Clarke(engaged in 1941; did not marry)
Alan_Turing,Awards,Smith's Prize (1936)
Alan_Turing,Fields,"Logic, Mathematics, Cryptanalysis, Computer science, Mathematical and theoretical biology[1]"
Alan_Turing,Institutions,"University of Manchester, Government Code and Cypher School, National Physical Laboratory"
Alan_Turing,Thesis,Systems of Logic Based on Ordinals (1938)
Alan_Turing,Doctoral advisor,Alonzo Church[2]
Alan_Turing,Doctoral students,"Robin Gandy,[2][3] Beatrice Worsley[4]"
Alan_Turing,Influences,Max Newman[5]
Albert_Einstein,Born,"(1879-03-14)14 March 1879Ulm, Kingdom of Württemberg, German Empire"
Albert_Einstein,Died,"18 April 1955(1955-04-18) (aged 76)Princeton, New Jersey, U.S."
Albert_Einstein,Citizenship,"Kingdom of Württemberg, part of the German Empire (1879–1896)[note 1], Stateless (1896–1901), Switzerland (1901–1955), Austria, part of the Austro-Hungarian Empire (1911–1912), Kingdom of Prussia, part of the German Empire (1914–1918)[note 1], Free State of Prussia (Weimar Republic and Nazi Germany, 1918–1933), United States (1940–1955)"
Albert_Einstein,Education,"Federal Polytechnic School in Zurich (Federal teaching diploma, 1900), University of Zurich (PhD, 1905)"
Albert_Einstein,Known for,"General relativity, Special relativity, Photoelectric effect, E=mc2 (Mass–energy equivalence), E=hf (Planck–Einstein relation), Theory of Brownian motion, Einstein field equations, Bose–Einstein statistics, Bose–Einstein condensate, Gravitational wave, Cosmological constant, Unified field theory, EPR paradox, Ensemble interpretation, List of other concepts"
Albert_Einstein,Children,"""Lieserl"" Einstein, Hans Albert Einstein, Eduard ""Tete"" Einstein"
Albert_Einstein,Awards,"Barnard Medal (1920), Nobel Prize in Physics (1921), Matteucci Medal (1921), ForMemRS (1921)[3], Copley Medal (1925)[3], Gold Medal of the Royal Astronomical Society (1926), Max Planck Medal (1929), Member of the National Academy of Sciences (1942), Time Person of the Century (1999)"
Albert_Einstein,Fields,"Physics, philosophy"
Albert_Einstein,Institutions,"Swiss Patent Office (Bern) (1902–1909), University of Bern (1908–1909), University of Zurich (1909–1911), Charles University in Prague (1911–1912), ETH Zurich (1912–1914), Prussian Academy of Sciences (1914–1933), Humboldt University of Berlin (1914–1933), Kaiser Wilhelm Institute (director, 1917–1933), German Physical Society (president, 1916–1918), Leiden University (visits, 1920), Institute for Advanced Study (1933–1955), Caltech (visits, 1931–1933), University of Oxford (visits, 1931–1933)"
Albert_Einstein,Thesis,Eine neue Bestimmung der Moleküldimensionen (A New Determination of Molecular Dimensions) (1905)
Albert_Einstein,Doctoral advisor,Alfred Kleiner
Albert_Einstein,Other academic advisors,Heinrich Friedrich Weber
Albert_Einstein,Influences,"Arthur Schopenhauer, Baruch Spinoza, Bernhard Riemann, David Hume, Ernst Mach, Hendrik Lorentz, Hermann Minkowski, Isaac Newton, James Clerk Maxwell, Michele Besso, Moritz Schlick, Thomas Young"
Albert_Einstein,Influenced,Virtually all modern physics
Isaac_Newton,Born,"(1643-01-04)4 January 1643 [O.S. 25 December 1642][a]Woolsthorpe-by-Colsterworth, Lincolnshire, England"
Isaac_Newton,Died,"31 March 1727(1727-03-31) (aged 84) [O.S. 20 March 1726][a]Kensington, Middlesex, Great Britain"
Isaac_Newton,Resting place,Westminster Abbey
Isaac_Newton,Nationality,English
Isaac_Newton,Education,"Trinity College, Cambridge (M.A., 1668)[3]"
Isaac_Newton,Known for,Newtonian mechanicsUniversal gravitationCalculusNewton's laws of motionOpticsBinomial seriesPrincipiaNewton's method
Isaac_Newton,Awards,FRS (1672)[4]Knight Bachelor (1705)
Isaac_Newton,Fields,PhysicsNatural philosophyAlchemyTheologyMathematicsAstronomyEconomics
Isaac_Newton,Institutions,University of CambridgeRoyal SocietyRoyal Mint
Isaac_Newton,Academic advisors,Isaac Barrow[5]Benjamin Pulleyn[6][7]
Isaac_Newton,Notable students,Roger CotesWilliam Whiston
Elon_Musk,Born,"Elon Reeve Musk (1971-06-28) June 28, 1971 (age 49)Pretoria, South Africa"
Elon_Musk,Citizenship,South Africa (1971–present)Canada (1971–present)United States (2002–present)
Elon_Musk,Education,"Queen's University(no degree)University of Pennsylvania(BS and BA, 1997)"
Elon_Musk,Occupation,EntrepreneurIndustrial designerEngineer
Elon_Musk,Net worth, US$203 billion (As of February 2021[update])[1]
Elon_Musk,Title,"Founder, CEO, lead designer of SpaceX, CEO, product architect of Tesla, Inc., Founder of The Boring Company and X.com, Co-founder of Neuralink, OpenAI, and Zip2, Chairman of SolarCity"
Elon_Musk,Partner(s),Claire Boucher (2018–present)
Elon_Musk,Children,7[a]
Elon_Musk,Parents,Errol Musk (father)Maye Musk (mother)
Jeff_Bezos,Born,"Jeffrey Preston Jorgensen (1964-01-12) January 12, 1964 (age 57)Albuquerque, New Mexico, U.S."
Jeff_Bezos,Education,Princeton University (BSE)
Jeff_Bezos,Occupation,BusinessmanMedia proprietorInvestorComputer engineer
Jeff_Bezos,Years active,1986–present
Jeff_Bezos,Known for,Founding Amazon and Blue Origin
Jeff_Bezos,Net worth,US$192.6 billion (February 2021)[1]
Jeff_Bezos,Title,CEO and President of Amazon
Jeff_Bezos,Partner(s),Lauren Sánchez (2019–present)[2]
Jeff_Bezos,Children,4
Steve_Jobs,Born,"Steven Paul Jobs(1955-02-24)February 24, 1955San Francisco, California, U.S."
Steve_Jobs,Died,"October 5, 2011(2011-10-05) (aged 56)Palo Alto, California, U.S."
Steve_Jobs,Cause of death,Neuroendocrine cancer
Steve_Jobs,Resting place,Alta Mesa Memorial Park
Steve_Jobs,Occupation,"Entrepreneur, Industrial designer, Investor, Media proprietor"
Steve_Jobs,Known for,"Pioneer of the personal computer revolution with Steve Wozniak, Co-creator of the Macintosh, iPod, iPhone, iPad, and first Apple Stores"
Steve_Jobs,Net worth,US$7 billion (September 2011)[1]
